name,location,price,capacity,rating,reviews,description
Olde Towne Special Events,"Atlanta, GA","$9,950",151-200 Guests,5,67,Olde Towne Special Events is a full-service events facility that hosts weddings and other milestone occasions.
Lions Gate Estate,Metro Atlanta & Southeast United States,"$7,300",51-100 Guests,5,2,The Lion's Gate Estate is a wedding venue located just north of Atlanta and offers a truly one-of-a-kind backdrop for your special day.
Vecoma At The Yellow River,"Snellville, GA","$2,500",251-300 Guests,4.9,204,Discover Vecoma at the Yellow River – Atlanta’s Premier All-Inclusive Wedding Venue Nestled on 70 acres of lush forest along the scenic Yellow River.
Primrose Cottage,"Roswell, GA",Not Provided,300+ Guests,4.9,275,"Primrose Cottage is an enchanting wedding venue located in Roswell, GA."
Huntcliff River Club,Atlanta Area,"$4,880",101-150 Guests,4.9,30,"The Huntcliff River Club is a wedding and reception venue located in Atlanta, GA."
Stanley House Mansion,"Marietta, GA","$2,000",101-150 Guests,5,52,"Perched in Marietta, GA, Stanley House Mansion is a stunning wedding venue for any couple’s exquisite celebrations."
The 173 Carlyle House,"Norcross, GA","$9,250",300+ Guests,4.9,113,"Located in Norcross, GA, 173 Carlyle House is a beautiful turn-of-the-century mansion."
Flint Hill,"Norcross, GA",Not Provided,251-300 Guests,4.8,209,"Flint Hill is a beautifully restored historic mansion located on a private estate in Norcross, GA."
Brick and Ivey,"Marietta, GA","$11,500",151-200 Guests,5,106,"Brick and Ivey is North Atlanta's newest wedding venue situated in Marietta, GA."
The Atrium,"Norcross, GA",Not Provided,101-150 Guests,4.8,153,"The Atrium is a contemporary wedding venue situated on a magnificent garden property in Norcross, GA."
Roswell Historic Hall,"Roswell, GA","$8,450",300+ Guests,4.6,48,"Roswell Historic Hall is a romantic wedding venue located in Roswell, GA."
Little Gardens,"Lawrenceville, GA",Not Provided,251-300 Guests,4.9,216,"Little Gardens in Lawrenceville, GA is a serene wedding venue with indoor and outdoor spaces."
Naylor Hall,"Roswell, GA","$11,450",201-250 Guests,5,177,"Naylor Hall began life 170 years ago, but only recently did Sunny Bailey bring it into the 21st century with a complete makeover."
Kimball Hall,"Roswell, GA","$13,250",151-200 Guests,5,166,Part of the Little River Farms venue group; this newly refurnished and renovated venue seats up to 200 guests.
Country Club of Roswell,"Roswell, GA",Not Provided,201-250 Guests,4.7,23,We are so excited for all of our newly engaged couples!
Ivy Hall,"Roswell, GA","$18,000",201-250 Guests,4.9,90,The Roswell Mill is a unique and cherished piece of Southern history.
Douglasville Conference Center,"Douglasville, GA",Not Provided,300+ Guests,3,1,"Based in Douglasville, GA, the Douglasville Conference Center is a wedding venue with a purpose."
Eden Garden House,atlanta ga,"$3,000",151-200 Guests,Not Provided,Not Provided,"Eden Garden House is a beautiful wedding venue in Lithonia, GA."
Whitestone Reserve,"Austell, GA","$16,000",101-150 Guests,5,21,Whitestone Reserve is a stunning new metro Atlanta wedding venue.
Roswell Mill Club,"Roswell, GA","$11,000",151-200 Guests,4.8,41,Roswell Mill is a unique and cherished piece of Southern history.
Westin Atlanta Airport,"Atlanta, GA",Not Provided,300+ Guests,4,4,"The Westin Atlanta Airport is a wedding venue located in Atlanta, GA."
Brumby Hall & Gardens,"Marietta, GA","$1,750",151-200 Guests,4,2,"Brumby Hall & Gardens is a historic wedding venue in Marietta, GA."
Breckinridge Banquet Hall,"Duluth, GA","$4,050",101-150 Guests,4.8,27,"Breckinridge Banquet Hall is a wedding venue located in Duluth, Georgia."
The Foxglove,"Marietta, GA",Not Provided,300+ Guests,4.5,4,"The Foxglove is a characterful venue welcoming weddings in Marietta, GA."
The Cotton Gin at Mill Creek,"Hiram, GA","$13,000",151-200 Guests,5,101,Truly All-Inclusive Wedding Venue - We pride ourselves on offering a proven planning experience and our no-fee guarantee that is unmatched in the Atlanta market.
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA","$4,000",251-300 Guests,4.8,493,"Ashton Gardens is the Atlanta area’s premier wedding venue, located in the heart of Georgia for a perfect blend of city convenience and serene landscapes."
The Wildflower Barn at Little River Farms,"Alpharetta, GA","$11,800",101-150 Guests,5,86,"The Wildflower Barn at Little River is a historic, family owned barn that has been renovated to accommodate weddings and special events."
Venue 92,"Woodstock, GA","$4,400",151-200 Guests,5,90,"Whether it's a romantic garden affair, a glamorous evening under the lights, or neon-lights-music-thumping all out party atmosphere, Venue 92 can fulfill any vision you have for your big day."
Little River Farms,"Alpharetta, GA",Not Provided,201-250 Guests,4.9,196,"Little River Farms is a wedding venue in Alpharetta, GA."
TPC Sugarloaf,"Duluth, GA","$14,500",201-250 Guests,5,39,"TPC Sugarloaf is a remarkably elegant wedding venue located in Duluth, Georgia."
Payne Corley House,"Duluth, GA",Not specified,151-200 Guests,5,192,"In Duluth, GA, the Payne-Corley House is a wedding venue and restored farmhouse that offers you and guests a tranquil retreat for your celebrations."
VIP Event Hall,"Lawrenceville, GA","$3,300",201-250 Guests,5,1,"VIP Event Hall is Gwinnett County's premier wedding and event venue in Lawrenceville, GA."
The Grande At Kennesaw,"Kennesaw, GA","$2,500",201-250 Guests,4.7,10,"Based in Kennesaw, GA, The Grande At Kennesaw is a charming Victorian-style farmhouse and wedding venue."
Governors Towne Club,"Acworth, GA","$5,000",201-250 Guests,4.2,13,"Governors Towne Club is an elegant event and wedding venue in Acworth, GA, just 45 minutes from downtown Atlanta."
St Ives Country Club,"Johns Creek, GA","$10,000",201-250 Guests,4.7,14,"St Ives Country Club, one of Atlanta's most stunning wedding venues."
Kite Manor Events & Studio,"Fayetteville, GA","$1,000",51-100 Guests,5,0,"Kite Manor Events & Studio is a unique and charming wedding venue in the south Atlanta area of Fayetteville, GA."
Hilton Alpharetta Atlanta,"Alpharetta, GA","$10,000",251-300 Guests,5,1,"Hilton Alpharetta Atlanta is a hotel and wedding venue situated in Alpharetta, Georgia."
Atlanta Marriott Alpharetta,"Alpharetta, GA","$5,000",300+ Guests,5,2,"The Atlanta Marriott Alpharetta is a luxurious hotel venue located in the heart of Alpharetta, GA."
Cherry Hollow Farm,"Chattahoochee Hills, GA",Not specified,151-200 Guests,5,6,Cherry Hollow Farm is an one-of-a-kind indoor/outdoor wedding and event venue.
Vines Mansion & Gardens,"Loganville, GA","$1,200",300+ Guests,4.5,31,"Vines Mansion is based in Loganville, Georgia."
Atlanta Cosmopolitan Event Center,"Douglasville, GA",Not specified,Not specified,0,0,"Atlanta Cosmopolitan Event Center is a wedding venue located in Douglasville, GA."
Carl House,"Auburn, GA","$5,000",201-250 Guests,4.8,186,"Carl House is a wedding venue located in Auburn, GA."
The Wheeler House and Barn,"Ball Ground, GA","$9,750",251-300 Guests,5,126,"Located in Ball Ground, GA, The Wheeler House is a rustic barn wedding venue."
Bradford House and Gardens,"Flowery Branch, GA","$15,000",101-150 Guests,5,44,"Bradford House and Gardens is a classic, southern home wedding venue nestled on seven gorgeous acres at the southern part of Lake Lanier in Flowery Branch, GA."
Vinewood Stables,"Newnan, GA",Not specified,201-250 Guests,4.9,90,"Vinewood Stables is a historic homestead and wedding venue located in the quaint community of Newnan, GA."
Koury Farms Weddings & Events,"Auburn, GA","$4,500",151-200 Guests,5,113,"Located in Northeast GA, between Atlanta and Athens, Koury Farms Weddings & Events, LLC is the venue you didn't think you would find!!"
Chateau Elan Winery & Resort,"Braselton, GA",$225,300+ Guests,5,0,"Chateau Elan Winery & Resort is a luxurious resort and wedding venue in Braselton, GA."
The Engine Room,"Monroe, GA",Not specified,300+ Guests,4.9,32,"The Engine Room at Monroe Cotton Mills is a unique wedding venue located near Atlanta in historic downtown Monroe, GA."
Lanier Islands Weddings,"Buford, GA",Not specified,300+ Guests,4.7,172,"Located 45 minutes North of Atlanta, Lanier Islands Weddings provides breathtaking backdrops, world class amenities, and an incredible variety of venues."
In The Woods,"Rockmart, GA","$12,500",201-250 Guests,5,23,In the Woods is North Georgia's newest state-of-the-art Wedding and Event Venue.
Lillian Gardens,"Newnan, GA","$4,500",151-200 Guests,5,38,Lillian Gardens is a full-service event venue dedicated to providing professional planning services for all special occasions.
Cherokee County Conference Center @ The Bluffs,"Canton, GA","$4,300",251-300 Guests,5,3,"Over 8,000 sq ft of conference space, Four configurable conference floor areas."
Four Oaks Manor,"Buford, GA","$3,000",101-150 Guests,4.7,50,"Four Oaks Manor is a garden wedding venue located in Buford, GA."
The Venue at Stillwater Pond,"Temple, GA",Not specified,151-200 Guests,0,0,"The Venue at Stillwater Pond is a stunning wedding venue located in Temple, GA."
Fendley Farmstead LLC,"Canton, GA",Not specified,151-200 Guests,5,114,"Fendley Farmstead, LLC is a picturesque farm wedding venue located in Canton, GA."
Mystic Acres Barn,"Griffin, GA",Not specified,251-300 Guests,0,0,"Mystic Acres Barn is a beautiful wedding venue located in Griffin, GA."
"The Venue at Sharp Mountain, LLC","Jasper, GA","$22,275",251-300 Guests,5,61,"The Venue at Sharp Mountain, LLC is a wedding and events venue located in Jasper, GA."
Cold Creek Farm,"Dawsonville, GA","$4,000",201-250 Guests,4.8,22,"Located in Dawsonville, GA, Cold Creek Farm Wedding Venue offers a picturesque place for couples to celebrate their love and commitment."
The Georgia Club,"Statham, GA","$8,850",251-300 Guests,4.8,6,"The Georgia Club is a one-of-a-kind wedding venue in Statham, GA."
Sage Cottage,"Adairsville, GA","$3,500",151-200 Guests,4.9,10,"Welcome to Sage Cottage, the premier wedding venue in North Georgia."
The Willows Farm,"Marble Hill, GA","$9,500",201-250 Guests,5,101,"Located in Marble Hill, GA, The Willows Farm is a country event venue that hosts weddings and other special occasions."
Gaither's at Myrtle Creek Farm,"Covington, GA","$2,000",151-200 Guests,5,3,"Located in the rolling hills of Covington, GA, in Southern Newton County sits Gaither's at Myrtle Creek Farm, a historic setting for weddings and other special events."
Beautiful Beginnings Farm,"Newborn, GA","$2,000",101-150 Guests,5,143,Hello everyone. We are pleased to introduce ourselves to you. Our names are David and Lisa.
Ivy & Oak,"Talking Rock, GA","$7,500",151-200 Guests,5,36,A breathtaking venue nestled in the North Georgia mountains!
Barn South,"Talmo, GA","$4,500",201-250 Guests,5,12,"Located north of Atlanta in Talmo, GA, Barn South exemplifies a luxury Southern destination with natural character."
Autumn Oaks of Winder,"Winder, GA","$3,000",101-150 Guests,5,2,"In the heart of Winder, GA, sits a charming wedding venue, perfect for hosting your celebration."
The Tate House,"Tate, GA","$17,500",201-250 Guests,4.9,36,"The Tate House is a historic wedding venue situated in Tate, GA, an hour's drive from downtown Atlanta."
Hightower Falls,"Cedartown, GA",Not specified,251-300 Guests,4.9,93,"Always dreamed of a waterfall wedding? Hightower Falls is a picturesque wedding venue located in Cedartown, Georgia."
Spring Lake Events,"Rockmart, GA",Not specified,151-200 Guests,5,20,The calm waters of our beautiful lake and the wispy willow trees framed in cattails will take your breath away at Spring Lake.
Swan Lake Overlook,"Dawsonville, GA","$7,900",251-300 Guests,5,13,"Nestled in the countryside of Dawsonville, GA, Swan Lake Overlook is a modern and elegant wedding venue."
McEachin Farm,"Danielsville, GA","$2,500",101-150 Guests,5,2,"McEachin Farm is a stunning wedding venue in Atlanta, GA, that sets the stage for the celebration of a lifetime!"
Enotah Valley Event Center,"Blairsville, GA","$6,800",51-100 Guests,5,5,"Located in Blairsville, GA, Enotah Valley is a venue that is a rustic setting for weddings."
Butler Hall Events,"Gray, GA",Not specified,201-250 Guests,5,1,"Butler Hall Events is a historic wedding venue in Gray, Georgia."
Walnut Hill Farm,"Dalton, GA","$4,500",300+ Guests,4.8,16,"Nestled in the North Georgia Mountains, Walnut Hill Farm offers classic Southern elegance."
Brasstown Valley Resort & Spa,"Young Harris, GA","$5,000",151-200 Guests,4.9,79,"As a wedding venue, Brasstown Valley Resort & Spa in Young Harris, GA, has it all."
The Dogwood Barn at G5Ranch,"Milledgeville, GA","$4,900",300+ Guests,5,16,"Situated on over 600 acres in Milledgeville, Georgia, The Dogwood Barn is a premier wedding venue."
Currahee Club,"Toccoa, GA","$15,000",101-150 Guests,5,11,"Nestled in the North Georgia mountains, the Currahee Club features serene lake and mountain views."
The Barn at Young Harris,"Young Harris, GA","$6,000",151-200 Guests,5,42,Located on 30 acres of pasture with breathtaking panoramic views of Brasstown Bald Mountain.
The Estate at Stone Creek,"Macon, GA","$1,795",201-250 Guests,4.8,5,"The Estate at Stone Creek, located in Macon, GA, offers the perfect setting for the beginning of your happily ever after."
